WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2024-06-29,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2024-07-20,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2024-08-03,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,5541.0,Demonstrations,1535.0,0.7197,36.0185
2024-08-17,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,1589.0,Demonstrations,1535.0,0.7197,36.0185
2024-08-24,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2024-08-31,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,613.0,Demonstrations,1535.0,0.7197,36.0185
2024-09-14,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2024-09-28,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2024-11-23,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,423.0,Demonstrations,1535.0,0.7197,36.0185
2025-02-01,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,5541.0,Demonstrations,1535.0,0.7197,36.0185
2025-02-22,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2025-03-22,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,2675.0,Demonstrations,1535.0,0.7197,36.0185
2025-04-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2025-04-26,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,1226.0,Demonstrations,1535.0,0.7197,36.0185
2025-06-14,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2020-08-22,Eastern Africa,Kenya,Baringo,Protests,Protest with intervention,1,0,6962.0,Demonstrations,1535.0,0.7197,36.0185
2021-02-20,Eastern Africa,Kenya,Baringo,Protests,Protest with intervention,1,0,6871.0,Demonstrations,1535.0,0.7197,36.0185
2024-02-10,Eastern Africa,Kenya,Baringo,Protests,Protest with intervention,2,0,9051.0,Demonstrations,1535.0,0.7197,36.0185
2003-02-15,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,,Political violence,1535.0,0.7197,36.0185
2003-07-26,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,,Political violence,1535.0,0.7197,36.0185
2003-11-15,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,,Political violence,1535.0,0.7197,36.0185
2014-09-13,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,1,,Political violence,1535.0,0.7197,36.0185
2016-10-29,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,1,,Political violence,1535.0,0.7197,36.0185
2017-06-03,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,1,,Political violence,1535.0,0.7197,36.0185
2017-06-24,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,,Political violence,1535.0,0.7197,36.0185
2018-06-09,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,,Political violence,1535.0,0.7197,36.0185
2021-01-23,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,11520.0,Political violence,1535.0,0.7197,36.0185
2022-10-29,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,11742.0,Political violence,1535.0,0.7197,36.0185
